Key,English(en),Portuguese (Brazil)(pt-BR),Spanish(es)
Ability Ingredient Warning,Soups should include at least 1 Ability Ingredient!,Sopas devem ter pelo menos 1 Ingrediente de Abilidades!,Sopas deben tener al menos 1 ingrediente de habilidad!
Back,Back,Voltar ,Volver
Best,Best: ,Melhor: ,Mejor: 
HEAVY Tooltip,Increases ability size,Aumenta o tamanho da habilidade,Aumenta el tamaño de la habilidad
Black Sage,Black Sage,Sálvia Negra,Salvia Negra
Blue Elderberry,Blue Elderberry,Sabugueiro Azul,Saúco Azul
Burn Hitmarker,Burn,Queimadura,Quemadura
Campfire Warning,"Campfires will be unusable after exiting, so be careful!","Fogueiras serão inusáveis depois de sair, então tenha cuidado! ","Fogatas serán inutilizables después de salir, entonces ten cuidado! "
Candy Cap,Candy Cap,Cogumelo de chapéu caramelo,Hongo de gorra caramelo
Cat's Ear,Cat's-Ear,Dente-de-leão Falso,Diente de león Falso
"Tutorial
",Tutorial,Continua,Tutorial
Controls Button,Controls,Controles ,Controles
Controls Menu LHS,"Attack
Dash
Cycle Spoon 
Interact
Zoom in/out
","Ataque
Esquivar
Troque de colher
Interagir
Afastar/Aproximar","Ataque
Regate
Cambia de cuchara
Interactuar
Alejar/Acerar"
Controls Menu RHS,"[LMB]
[RMB] or [Shift]
[Scroll Wheel]
[E]
[Z]","[Clique Esquerdo]
[Clique Dereito] ou [Shift]
[Roda do Mouse]
[E]
[Z]","[Clic Izquierdo]
[Clique Derecho] o [Shift]
[Rueda del Mouse]
[E]
[Z]"
Cook Button ,Cook,Cozinhar,Cocinar
Pumpkin Profile,Creates a zone that heals the player,Cria uma zona que cura o jogador,Crea una zona que cura al jugador
Damage Hitmarker,Damage,Dano,Daño
Demented Pepper,Demented Pepper,Pimenta Demente,Pimienta Demente
Exit (objective prompt),Exit!,Saída!,Salida!
Language,Language,Língua,Língua
Find (objective prompt),Find,Encontre,Encuentra
Flavor Profile,Flavor Profile,Perfil de Sabor,Perfil de Sabor
Flettuce,Flettuce,Alfovante,Saladrone
Freeze Hitmarker,Freeze,Congelar,Congelar
FROSTY Tooltip,Slows down enemies,Faz os inimigos mais lentos,Ralentiza a los enemigos
Garden snail,Garden snail,Caracol de Jardim,Caracol de Jardín
Golden Chantarelle,Golden Chantarelle,Cogumelo Chanterelle,Seta Chanterelle
SLIMY Tooltip,Increases knockback,Aumenta o recuo,Aumenta el retroceso
Habaperro,Habaperro,Salsacão,Habaperros
Harvested from big trees,Harvested from big trees,Colhido de arvores grandes,Cosechado de arboles grandes
Health Hitmarker,Health,Saúde,Salud
Hopshroom,Hopshroom,Sapotrilhos,Ranafongos
Ingredients Collected,Ingredients Collected: ,Ingredientes Coletados: ,Ingredientes Recolectados: 
Interact (controls menu),Interact,Interagir,Interactuar
Kelp,Kelp,Alga Marinha,Alga Marina
Knockback Hitmarker,Knockback,Recuo,Retroceso
Lemon,Lemon,Limão,Limón
Lettuce Ear,Lettuce Ear,Folha de Alface,Hoja de Lechuga
